participant,n_days,n_imputed,CRPS,WIS,RMSE_mean,EnergyScore,VariogramScore,cover50_pct,cover90_pct,skill,cover50_day,cover90_day,reliability_L1,PIT_mean
spinner,28,3,1788.6619,1626.5294,3222.4213,26039.289,287.1355,26.4106,42.3048,0.6059,40.7176,59.8544,0.5347,0.6063
guenther99,29,2,2561.8965,2428.4861,4275.9581,36977.7474,508.2013,5.6784,16.7339,0.4355,8.6224,22.0617,1.2503,0.4129
Mkay,29,2,3594.0616,3222.5752,5946.4019,53326.2287,674.6177,0.5368,41.8352,0.208,15.2299,54.8851,0.9424,0.5838
OpenForecast,29,2,3594.0616,3222.5752,5946.4019,53326.2287,674.6177,0.5368,41.8352,0.208,15.2299,54.8851,0.9424,0.5838
NaiveBenchmark,31,0,4538.1035,4201.0019,7246.0352,67855.7761,788.66,0.4361,14.8187,0.0,4.6707,18.6828,1.5066,0.5381
Wetterfrosch,24,7,15425.1535,14208.5542,19478.2535,168207.3729,4396.3323,8.2319,33.7361,-2.399,10.5469,37.9774,1.0757,0.2262
